#options: 960x540 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=260 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:128 out:125 type:P dur:2 cpbdur:2 q:36.85 aq:30.51 tex:18183 mv:6894 misc:2067 imb:125 pmb:921 smb:994 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:36.83 aq:33.39 tex:417 mv:2155 misc:948 imb:6 pmb:223 smb:1811 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:36.81 aq:30.05 tex:88 mv:1315 misc:789 imb:2 pmb:169 smb:1869 d:t ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:36.84 aq:35.91 tex:124 mv:1285 misc:919 imb:5 pmb:227 smb:1808 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:36.74 aq:30.04 tex:19388 mv:7385 misc:1987 imb:148 pmb:962 smb:930 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:36.80 aq:32.74 tex:342 mv:2354 misc:1064 imb:7 pmb:237 smb:1796 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:36.82 aq:34.80 tex:135 mv:1398 misc:819 imb:2 pmb:161 smb:1877 d:t ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:36.77 aq:37.04 tex:255 mv:1216 misc:865 imb:3 pmb:208 smb:1829 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:36.80 aq:30.39 tex:17964 mv:6895 misc:1973 imb:128 pmb:935 smb:977 d:s ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:36.77 aq:35.84 tex:465 mv:2398 misc:1017 imb:10 pmb:239 smb:1791 d:s ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:36.75 aq:28.19 tex:86 mv:1314 misc:816 imb:1 pmb:172 smb:1867 d:t ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:36.78 aq:37.43 tex:232 mv:1485 misc:947 imb:3 pmb:214 smb:1823 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:36.63 aq:30.00 tex:21668 mv:7787 misc:1961 imb:192 pmb:978 smb:870 d:s ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:36.71 aq:30.63 tex:532 mv:2365 misc:1055 imb:7 pmb:252 smb:1781 d:s ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:36.75 aq:35.62 tex:122 mv:1529 misc:845 imb:3 pmb:179 smb:1858 d:t ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:36.67 aq:31.72 tex:141 mv:1352 misc:979 imb:2 pmb:226 smb:1812 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:36.55 aq:30.54 tex:19352 mv:6698 misc:1894 imb:137 pmb:923 smb:980 d:s ref:0 ;
